Run_ID,Thickness_mm,YoungsModulus_MPa,Density_t_mm3,PoissonsRatio,Mode_1_Hz,Mode_2_Hz,Mode_3_Hz
15,0.01594209433807537,5050.929300564549,1.320730386123149e-09,0.3467453823185951,1.33925e-41,5.95471e-40,3.7491e-40
16,0.011348664290475633,1456.1121560247948,1.2368425466678558e-09,0.34139209980387475,8.62998e-43,3.16502e-42,1.75092e-41
17,0.023262742012641953,5941.2355427822295,1.2098420798506693e-09,0.2682137577573556,2.39857e-43,2.29683e-43,6.88067e-42
18,0.028554605761767778,2116.732180394216,1.2156761851365733e-09,0.3186555198139204,3.82613e-43,1.4175e-39,9.62316e-42
19,0.018075587495650657,2934.05773653081,1.3081925562145215e-09,0.25566605416018456,1.57674e-43,1.1436e-40,1.74041e-39
20,0.02346798441741666,1350.6009180755482,1.2879564582818041e-09,0.2741464700223028,3.22541e-44,1.48574e-46,7.86927e-41
21,0.021587281239045034,2528.0537044049065,1.2018160685682155e-09,0.34581106666387695,3.15297e-42,2.46642e-41,1.11705e-40
22,0.010869687803741182,4649.895522489664,1.3005379206069094e-09,0.25962105728183144,2.59149e-42,4.87193e-42,2.67329e-40
23,0.005479322348598803,4261.897877390353,1.2036636197221483e-09,0.2567394348137622,1.11904e-42,3.68661e-43,1.1786e-40
24,0.029237384938090097,1591.23500806839,1.240146061382062e-09,0.30364146338368453,1.50721e-42,1.02427e-40,1.89638e-39
25,0.00340747133473063,1630.0292866189252,1.2565087381002052e-09,0.26337526671723593,4.3994e-44,4.04323e-42,1.30313e-42
26,0.006408256365701694,5702.437764836324,1.3129517164039126e-09,0.3134233437921395,2.47452e-44,1.40458e-41,1.51042e-42
27,0.007661156205108026,1009.7397603456159,1.2749720196742868e-09,0.3275952732704095,2.94517e-42,2.59787e-41,2.06119e-40
28,0.008924557740799668,2319.52356425032,1.2111793107347942e-09,0.29028677143181525,1.17133e-44,3.12605e-40,9.34716e-41
29,0.0026952290632922824,2004.7100604930256,1.3036039885329457e-09,0.33847000228516794,1.06977e-46,3.2967e-42,1.19429e-42
30,0.021824345636748323,3735.015339844518,1.2533791548906828e-09,0.29554552255643046,1.29765e-42,5.6066e-42,1.89464e-41
31,0.01205669606263734,2433.80834852731,1.3253648884091492e-09,0.29896988574153655,3.36218e-41,7.66826e-41,2.79807e-38
32,0.016937537799442633,4956.328261076764,1.2690149816464325e-09,0.2506073592498445,2.15758e-41,3.46532e-40,8.30232e-42
33,0.013432905137408866,3265.3130195465164,1.2059218656884492e-09,0.3040649805351316,4.55242e-41,1.43191e-42,2.01469e-39
34,0.02487359788444217,2652.4295073774065,1.265621036774825e-09,0.28243854193795603,9.79412e-43,3.13501e-40,1.23454e-39
35,0.027884105241638688,4331.695104675755,1.293761651217065e-09,0.3370762455394972,2.98288e-43,2.14445e-40,2.86722e-39
36,0.027385694341397336,5408.398815486239,1.3106765580965847e-09,0.2729586551950569,6.95418e-46,7.09602e-40,1.32146e-40
37,0.015194209582229171,4433.514914340796,1.2465177030730478e-09,0.2767366712017559,2.23422e-41,3.63283e-41,1.83575e-40
38,0.020961460510160776,4133.833873683224,1.2590436136208357e-09,0.31485654389524786,2.32823e-42,1.06648e-41,9.39119e-42
39,0.006882509081050155,2751.7696563057098,1.2828365278048681e-09,0.30191017876121534,1.8163e-43,1.1769e-41,1.40114e-41
40,0.025459665070264696,2242.07804310581,1.318431660094426e-09,0.26406164724530456,4.63577e-42,7.8842e-41,2.26643e-41
41,0.025769282617140767,4762.907771613756,1.2340816391077372e-09,0.3283834970558714,8.492e-44,6.21296e-41,5.374e-41
42,0.014176659549282142,1259.3613138559929,1.3164014436236733e-09,0.28998527546049796,1.05945e-43,1.08316e-41,1.29096e-39
43,0.013127243957012135,2810.655336030213,1.2911642858086121e-09,0.3311683851956588,1.11364e-41,9.81923e-40,3.3604e-39
44,0.017436345646398295,5500.762443594416,1.2147423608479348e-09,0.33450278396108607,6.96768e-44,2.18634e-40,1.0795e-39
45,0.005110152485678542,3106.3956429951036,1.2480509682629952e-09,0.3339123924684255,2.30095e-42,4.76065e-42,1.57899e-40
46,0.01838179781764454,1744.596385646095,1.2978284899049284e-09,0.3161497597632464,5.08854e-42,2.89382e-41,6.30679e-41
47,0.019306021061194042,5116.888732787509,1.2497676454082305e-09,0.3071829427125507,7.68428e-43,6.4654e-41,8.16614e-41
48,0.0075312555578495675,5273.753948407713,1.2318636183946396e-09,0.281437232215956,3.83892e-42,2.59296e-41,6.20861e-41
49,0.019654845935408102,4512.543795916254,1.2852802386735648e-09,0.28620767845632045,2.9874e-42,1.16753e-41,4.83827e-42
