Run_ID,Thickness_mm,YoungsModulus_MPa,Density_t_mm3,PoissonsRatio,Freq1_Hz,Freq2_Hz,Freq3_Hz
26,0.006408256365701694,5702.437764836324,1.3129517164039126e-09,0.3134233437921395,1.0887153037144193,4.633477858234349,8.826096524104148
27,0.007661156205108026,1009.7397603456159,1.2749720196742868e-09,0.3275952732704095,0.5557690612768985,2.3631325950284623,4.501379255468076
28,0.008924557740799668,2319.52356425032,1.2111793107347942e-09,0.29028677143181525,1.0068141699993298,4.29177219541605,8.176107736516848
29,0.0026952290632922824,2004.7100604930256,1.3036039885329457e-09,0.33847000228516794,0.2725210090562524,1.1578681264878479,2.20509173653821
30,0.021824345636748323,3735.015339844518,1.2533791548906828e-09,0.29554552255643046,3.0678706830393745,13.078398293633409,24.92525563762173
31,0.01205669606263734,2433.80834852731,1.3253648884091492e-09,0.29896988574153655,1.3315698313783424,5.673237101453702,10.808530495256797
32,0.016937537799442633,4956.328261076764,1.2690149816464325e-09,0.2506073592498445,2.7287114993105455,11.666375638522114,22.22917090164502
33,0.013432905137408866,3265.3130195465164,1.2059218656884492e-09,0.3040649805351316,1.8013156459140713,7.6720640317448145,14.617108283445852
34,0.02487359788444217,2652.4295073774065,1.265621036774825e-09,0.28243854193795603,2.9316340517527126,12.510374301738434,23.84618512345868
35,0.027884105241638688,4331.695104675755,1.293761651217065e-09,0.3370762455394972,4.151397535608998,17.65346628775303,33.65172116735035
36,0.027385694341397336,5408.398815486239,1.3106765580965847e-09,0.2729586551950569,4.528276440850607,19.338917135096203,36.86665101780663
37,0.015194209582229171,4433.514914340796,1.2465177030730478e-09,0.2767366712017559,2.3352804799873805,9.965645916642119,18.988776260294035
38,0.020961460510160776,4133.833873683224,1.2590436136208357e-09,0.31485654389524786,3.0928580091048024,13.167684216707961,25.093959877299138
39,0.006882509081050155,2751.7696563057098,1.2828365278048681e-09,0.30191017876121534,0.821748802172074,3.4999763535338704,6.66731887600568
40,0.025459665070264696,2242.07804310581,1.318431660094426e-09,0.26406164724530456,2.703565018302026,11.552102389382132,22.01908637676372
41,0.025769282617140767,4762.907771613756,1.2340816391077372e-09,0.3283834970558714,4.120044011819894,17.529325432141352,33.41139720328159
42,0.014176659549282142,1259.3613138559929,1.3164014436236733e-09,0.28998527546049796,1.1299841804581476,4.817620127391672,9.179102187881972
43,0.013127243957012135,2810.655336030213,1.2911642858086121e-09,0.3311683851956588,1.5783236551480169,6.710449865583583,12.783325029141032
44,0.017436345646398295,5500.762443594416,1.2147423608479348e-09,0.33450278396108607,3.0225115242581846,12.85001095029654,24.482804895826263
45,0.005110152485678542,3106.3956429951036,1.2480509682629952e-09,0.3339123924684255,0.6572780839809095,2.793487561148947,5.320549747562061
46,0.01838179781764454,1744.596385646095,1.2978284899049284e-09,0.3161497597632464,1.7359029643033026,7.389086542927425,14.079801195567612
47,0.019306021061194042,5116.888732787509,1.2497676454082305e-09,0.3071829427125507,3.18166646735008,13.551565939445613,25.824481066090936
48,0.0075312555578495675,5273.753948407713,1.2318636183946396e-09,0.281437232215956,1.270502079713982,5.418907502392853,10.323107918826516
49,0.019654845935408102,4512.543795916254,1.2852802386735648e-09,0.28620767845632045,2.9999115223391355,12.795420804816018,24.384128831109287
